key_0,symbol,direction,contracts,entry_time,entry_price,exit_time,exit_price,stop_price,target_price,exit_reason,pnl_gross,commission,pnl_net,initial_risk_dollars,r_multiple,bars_held,reason,dist_vwap,vwap_slope,ema200_slope,or_size,rel_volume,vwap,ema_trend,close,day_range,day_efficiency,day_direction,lado,hora,franja,dia_semana,mes,stop_pts,dist_vwap_favor,vwap_slope_dir,ema200_slope_dir,sobre_vwap,sobre_ema200,pendiente_vwap,pendiente_ema200,dia_tendencia,dia_con_trade,rango_dia_b,stop_pts_b,dist_vwap_b,rel_volume_b,or_size_b
2025-01-29,MNQ,-1,1,2025-01-29 10:27:00,21507.5,2025-01-29 13:03:00,21408.0,21557.25,21408.0,target,199.0,1.58,197.42,99.5,1.984,157,vwap_liq_rejection_short,-28.833028625416773,-1.0373126901431533,-5.459130576906318,112.75,1.2697644958829966,21535.833028625417,21549.888358936616,21507.0,238.75,0.30157068062827225,-1.0,short,10h,mañana,miércoles,2025-01,49.75,28.833028625416773,1.0373126901431533,5.459130576906318,a favor,a favor,a favor,a favor,mixto,a favor del día,medio,alto,medio,bajo,medio
2025-01-29,MNQ,-1,1,2025-01-29 14:04:00,21455.0,2025-01-29 14:18:00,21390.5,21487.25,21390.5,target,129.0,1.58,127.42,64.5,1.976,15,vwap_liq_rejection_short,-45.25262102267516,-1.4426698139941436,-7.367600879388192,112.75,2.733745108208779,21500.252621022675,21491.76016872576,21455.0,238.75,0.30157068062827225,-1.0,short,14h,tarde,miércoles,2025-01,32.25,45.25262102267516,1.4426698139941436,7.367600879388192,a favor,a favor,a favor,a favor,mixto,a favor del día,medio,medio,alto,alto,medio
2025-01-29,MNQ,1,1,2025-01-29 14:59:00,21555.0,2025-01-29 15:04:00,21506.5,21507.0,21651.0,stop,-97.0,1.58,-98.58,96.0,-1.027,6,vwap_liq_rejection_long,59.35036668416433,2.0075586400416796,8.187489642408764,112.75,1.153136696574079,21495.399633315836,21484.306544145005,21554.75,238.75,0.30157068062827225,-1.0,long,14h,tarde,miércoles,2025-01,48.0,59.35036668416433,2.0075586400416796,8.187489642408764,a favor,a favor,a favor,a favor,mixto,contra el día,medio,alto,alto,bajo,medio
2025-02-04,MNQ,1,1,2025-02-04 14:12:00,21658.5,2025-02-04 15:00:00,21611.0,21611.5,21752.5,stop,-95.0,1.58,-96.58,94.0,-1.027,49,vwap_liq_rejection_long,57.09250177562353,0.891572263022681,8.137366114107863,170.75,1.7443991472491305,21600.407498224376,21614.327746056002,21657.5,289.75,0.8498705780845557,1.0,long,14h,tarde,martes,2025-02,47.0,57.09250177562353,0.891572263022681,8.137366114107863,a favor,a favor,a favor,a favor,tendencia,a favor del día,alto,alto,alto,alto,alto
2025-02-05,MNQ,1,1,2025-02-05 10:57:00,21600.0,2025-02-05 11:18:00,21568.5,21568.75,21662.5,stop,-63.0,1.58,-64.58,62.5,-1.033,22,vwap_liq_rejection_long,44.40922471216618,2.1786553742531396,-4.390404983150802,71.75,1.2810004945947855,21556.090775287834,21595.14020223042,21600.5,265.0,0.7952830188679245,1.0,long,10h,mañana,miércoles,2025-02,31.25,44.40922471216618,2.1786553742531396,-4.390404983150802,a favor,a favor,a favor,en contra,tendencia,a favor del día,alto,medio,alto,medio,bajo
2025-02-06,MNQ,1,1,2025-02-06 10:10:00,21801.5,2025-02-06 10:40:00,21763.5,21763.75,21877.0,stop,-76.0,1.58,-77.58,75.5,-1.028,31,vwap_liq_rejection_long,19.251291281085287,0.8692644562506757,19.551925133964687,84.75,1.2624599354561574,21781.498708718915,21733.412874720267,21800.75,170.25,0.5374449339207048,1.0,long,10h,mañana,jueves,2025-02,37.75,19.251291281085287,0.8692644562506757,19.551925133964687,a favor,a favor,a favor,a favor,tendencia,a favor del día,bajo,medio,bajo,bajo,bajo
2025-02-06,MNQ,1,3,2025-02-06 13:12:00,21825.0,2025-02-06 13:12:00,21809.0,21809.25,21856.5,stop,-96.0,4.74,-100.74,94.5,-1.066,1,vwap_liq_rejection_long,34.51998196171189,0.7534065029176418,10.783450215749326,84.75,1.3268446289272169,21790.230018038288,21785.408998044906,21824.75,170.25,0.5374449339207048,1.0,long,13h,tarde,jueves,2025-02,15.75,34.51998196171189,0.7534065029176418,10.783450215749326,a favor,a favor,a favor,a favor,tendencia,a favor del día,bajo,bajo,medio,medio,bajo
2025-02-06,MNQ,1,1,2025-02-06 13:26:00,21833.0,2025-02-06 14:28:00,21801.0,21801.25,21896.5,stop,-64.0,1.58,-65.58,63.5,-1.033,63,vwap_liq_rejection_long,41.54207426845096,0.6935480014144559,11.37184493858149,84.75,1.231653238398601,21791.20792573155,21790.006421765913,21832.75,170.25,0.5374449339207048,1.0,long,13h,tarde,jueves,2025-02,31.75,41.54207426845096,0.6935480014144559,11.37184493858149,a favor,a favor,a favor,a favor,tendencia,a favor del día,bajo,medio,alto,bajo,bajo
2025-02-07,MNQ,-1,1,2025-02-07 10:41:00,21763.0,2025-02-07 10:53:00,21802.0,21801.5,21686.0,stop,-78.0,1.58,-79.58,77.0,-1.034,13,vwap_liq_rejection_short,-58.41259304553023,-6.831258451878966,-20.451815362372145,98.25,1.4425818097764471,21821.16259304553,21807.771377996985,21762.75,414.75,0.729957805907173,-1.0,short,10h,mañana,viernes,2025-02,38.5,58.41259304553023,6.831258451878966,20.451815362372145,a favor,a favor,a favor,a favor,tendencia,a favor del día,alto,medio,alto,medio,medio
2025-02-10,MNQ,1,4,2025-02-10 13:17:00,21870.0,2025-02-10 14:02:00,21856.0,21856.5,21897.0,stop,-112.0,6.32,-118.32,108.0,-1.096,46,vwap_liq_rejection_long,39.883586021307565,0.507182650238974,12.23865365772508,66.75,1.6345858188303304,21829.866413978692,21826.659443368822,21869.75,151.5,0.5610561056105611,1.0,long,13h,tarde,lunes,2025-02,13.5,39.883586021307565,0.507182650238974,12.23865365772508,a favor,a favor,a favor,a favor,tendencia,a favor del día,bajo,bajo,alto,alto,bajo
2025-02-11,MNQ,1,1,2025-02-11 10:30:00,21840.0,2025-02-11 12:01:00,21783.5,21784.0,21952.0,stop,-113.0,1.58,-114.58,112.0,-1.023,92,vwap_liq_rejection_long,54.066924577484315,4.721061537406058,-8.708806678827386,106.0,2.089402467896957,21785.683075422516,21826.282310431405,21839.75,171.0,0.4766081871345029,1.0,long,10h,mañana,martes,2025-02,56.0,54.066924577484315,4.721061537406058,-8.708806678827386,a favor,a favor,a favor,en contra,mixto,a favor del día,bajo,alto,alto,alto,medio
2025-02-11,MNQ,-1,2,2025-02-11 13:13:00,21752.0,2025-02-11 13:21:00,21776.5,21776.0,21704.0,stop,-98.0,3.16,-101.16,96.0,-1.054,9,vwap_liq_rejection_short,-42.91360826755408,-0.8829004363215063,-10.659297275644349,106.0,2.9561707852439283,21794.913608267554,21796.858303773442,21752.0,171.0,0.4766081871345029,1.0,short,13h,tarde,martes,2025-02,24.0,42.91360826755408,0.8829004363215063,10.659297275644349,a favor,a favor,a favor,a favor,mixto,contra el día,bajo,bajo,alto,alto,medio
2025-02-11,MNQ,1,1,2025-02-11 13:34:00,21799.5,2025-02-11 15:50:00,21780.5,21761.5,21875.5,session_flatten,-38.0,1.58,-39.58,76.0,-0.521,137,vwap_liq_rejection_long,5.202561213820445,-0.26988835696465685,-7.674514864476805,106.0,2.2126378321194613,21794.04743878618,21792.20974741075,21799.25,171.0,0.4766081871345029,1.0,long,13h,tarde,martes,2025-02,38.0,5.202561213820445,-0.26988835696465685,-7.674514864476805,a favor,a favor,en contra,en contra,mixto,a favor del día,bajo,medio,bajo,alto,medio
2025-02-12,MNQ,-1,1,2025-02-12 10:13:00,21592.0,2025-02-12 10:17:00,21636.0,21635.5,21505.0,stop,-88.0,1.58,-89.58,87.0,-1.03,5,vwap_liq_rejection_short,-35.06677023617158,-2.5133079889492365,-33.21067542186938,165.25,1.2305720237141484,21627.56677023617,21744.408808004955,21592.5,303.25,0.8318219291014015,1.0,short,10h,mañana,miércoles,2025-02,43.5,35.06677023617158,2.5133079889492365,33.21067542186938,a favor,a favor,a favor,a favor,tendencia,contra el día,alto,alto,medio,bajo,alto
2025-02-14,MNQ,1,1,2025-02-14 10:09:00,22141.0,2025-02-14 12:31:00,22097.5,22098.0,22227.0,stop,-87.0,1.58,-88.58,86.0,-1.03,143,vwap_liq_rejection_long,24.385361720673245,2.1099477606767323,21.190364042424335,54.0,1.2976723586437675,22116.114638279327,22060.343925575275,22140.5,136.0,0.6856617647058824,1.0,long,10h,mañana,viernes,2025-02,43.0,24.385361720673245,2.1099477606767323,21.190364042424335,a favor,a favor,a favor,a favor,tendencia,a favor del día,bajo,alto,medio,medio,bajo
2025-02-14,MNQ,1,2,2025-02-14 13:32:00,22167.0,2025-02-14 15:50:00,22197.5,22143.75,22213.5,session_flatten,122.0,3.16,118.84,93.0,1.278,139,vwap_liq_rejection_long,35.479136938585725,0.5909653747330594,11.071084911123762,54.0,2.260869565217391,22130.770863061414,22128.932090282615,22166.25,136.0,0.6856617647058824,1.0,long,13h,tarde,viernes,2025-02,23.25,35.479136938585725,0.5909653747330594,11.071084911123762,a favor,a favor,a favor,a favor,tendencia,a favor del día,bajo,bajo,medio,alto,bajo
2025-02-17,MNQ,1,4,2025-02-17 10:20:00,22221.5,2025-02-17 11:03:00,22247.0,22208.75,22247.0,target,204.0,6.32,197.68,102.0,1.938,44,vwap_liq_rejection_long,9.424423555341491,0.4725748328091868,8.418868120847037,50.25,1.293347224289329,22211.82557644466,22189.083879398328,22221.25,60.25,0.0912863070539419,-1.0,long,10h,mañana,lunes,2025-02,12.75,9.424423555341491,0.4725748328091868,8.418868120847037,a favor,a favor,a favor,a favor,lateral/chop,contra el día,bajo,bajo,bajo,medio,bajo
2025-02-18,MNQ,-1,3,2025-02-18 10:17:00,22188.5,2025-02-18 10:28:00,22149.0,22208.25,22149.0,target,237.0,4.74,232.26,118.5,1.96,12,vwap_liq_rejection_short,-21.05557951182709,-4.0103340728455805,-9.97817424641471,103.25,1.2925660489377042,22209.805579511827,22218.67604437694,22188.75,165.0,0.2015151515151515,-1.0,short,10h,mañana,martes,2025-02,19.75,21.05557951182709,4.0103340728455805,9.97817424641471,a favor,a favor,a favor,a favor,lateral/chop,a favor del día,bajo,bajo,bajo,medio,medio
2025-02-18,MNQ,-1,2,2025-02-18 10:48:00,22143.0,2025-02-18 10:53:00,22173.0,22172.75,22083.5,stop,-120.0,3.16,-123.16,119.0,-1.035,6,vwap_liq_rejection_short,-51.05586564721307,-3.2707117553982243,-15.832882548424095,103.25,1.6026525125033086,22193.805865647213,22202.341410143174,22142.75,165.0,0.2015151515151515,-1.0,short,10h,mañana,martes,2025-02,29.75,51.05586564721307,3.2707117553982243,15.832882548424095,a favor,a favor,a favor,a favor,lateral/chop,a favor del día,bajo,medio,alto,alto,medio
2025-02-18,MNQ,-1,2,2025-02-18 13:32:00,22151.5,2025-02-18 14:09:00,22103.0,22175.75,22103.0,target,194.0,3.16,190.84,97.0,1.967,38,vwap_liq_rejection_short,-37.54577609581247,-0.6714226278563729,-3.659328301950154,103.25,2.3656067303579067,22189.295776095812,22187.068715021756,22151.75,165.0,0.2015151515151515,-1.0,short,13h,tarde,martes,2025-02,24.25,37.54577609581247,0.6714226278563729,3.659328301950154,a favor,a favor,a favor,a favor,lateral/chop,a favor del día,bajo,bajo,medio,alto,medio
2025-02-19,MNQ,-1,1,2025-02-19 10:04:00,22148.5,2025-02-19 10:46:00,22193.5,22193.25,22059.0,stop,-90.0,1.58,-91.58,89.5,-1.023,43,vwap_liq_rejection_short,-37.41895546426167,-4.093538576846186,2.7294515670946566,67.0,1.4170292106898694,22185.91895546426,22174.974836548954,22148.5,181.75,0.2530949105914718,1.0,short,10h,mañana,miércoles,2025-02,44.75,37.41895546426167,4.093538576846186,-2.7294515670946566,a favor,a favor,a favor,en contra,mixto,contra el día,medio,alto,medio,medio,bajo
2025-02-20,MNQ,-1,1,2025-02-20 10:48:00,22038.0,2025-02-20 12:21:00,22087.5,22087.25,21939.5,stop,-99.0,1.58,-100.58,98.5,-1.021,94,vwap_liq_rejection_short,-46.31518215732285,-1.550010631508485,-28.696410988741263,211.0,1.3279550648420937,22084.565182157323,22159.587766835608,22038.25,276.25,0.2497737556561086,-1.0,short,10h,mañana,jueves,2025-02,49.25,46.31518215732285,1.550010631508485,28.696410988741263,a favor,a favor,a favor,a favor,lateral/chop,a favor del día,alto,alto,alto,medio,alto
2025-02-20,MNQ,-1,1,2025-02-20 13:25:00,22033.0,2025-02-20 13:59:00,22070.0,22069.5,21960.0,stop,-74.0,1.58,-75.58,73.0,-1.035,35,vwap_liq_rejection_short,-34.76881410153146,-0.31353606453194516,-9.696515406474646,211.0,1.6478720804385014,22068.01881410153,22078.7424213253,22033.25,276.25,0.2497737556561086,-1.0,short,13h,tarde,jueves,2025-02,36.5,34.76881410153146,0.31353606453194516,9.696515406474646,a favor,a favor,a favor,a favor,lateral/chop,a favor del día,alto,medio,medio,alto,alto
2025-02-21,MNQ,-1,1,2025-02-21 10:15:00,22069.5,2025-02-21 10:34:00,21983.5,22112.5,21983.5,target,172.0,1.58,170.42,86.0,1.982,20,vwap_liq_rejection_short,-46.51769473103923,-8.785280052819871,-0.11264175357791828,117.25,1.2402430839669392,22116.26769473104,22101.38421142138,22069.75,540.75,0.9454461396208969,-1.0,short,10h,mañana,viernes,2025-02,43.0,46.51769473103923,8.785280052819871,0.11264175357791828,a favor,a favor,a favor,a favor,tendencia,a favor del día,alto,alto,alto,bajo,alto
2025-02-24,MNQ,-1,1,2025-02-24 14:21:00,21578.5,2025-02-24 15:43:00,21516.0,21609.75,21516.0,target,125.0,1.58,123.42,62.5,1.975,83,vwap_liq_rejection_short,-5.952313254074397,0.16499480627680896,-3.059999609966326,235.75,1.466040321002153,21585.202313254074,21618.782346724096,21579.25,386.75,0.8765352294764059,-1.0,short,14h,tarde,lunes,2025-02,31.25,5.952313254074397,-0.16499480627680896,3.059999609966326,a favor,a favor,en contra,a favor,tendencia,a favor del día,alto,medio,bajo,medio,alto
2025-02-25,MNQ,-1,1,2025-02-25 14:14:00,21165.0,2025-02-25 14:40:00,21201.0,21200.5,21094.0,stop,-72.0,1.58,-73.58,71.0,-1.036,27,vwap_liq_rejection_short,-4.49161310710042,0.260815507175721,-0.3222480055010237,191.5,1.4539696901153585,21170.4916131071,21206.96492885905,21166.0,412.0,0.5315533980582524,-1.0,short,14h,tarde,martes,2025-02,35.5,4.49161310710042,-0.260815507175721,0.3222480055010237,a favor,a favor,en contra,a favor,tendencia,a favor del día,alto,medio,bajo,medio,alto
2025-03-14,MNQ,1,1,2025-03-14 11:00:00,19793.5,2025-03-14 11:40:00,19886.5,19747.0,19886.5,target,186.0,1.58,184.42,93.0,1.983,41,vwap_liq_rejection_long,51.1193343141822,2.2786662912803877,37.11009433872459,170.5,1.7925478348439075,19740.380665685818,19639.87209933806,19791.5,311.75,0.8500400962309543,1.0,long,11h,mañana,viernes,2025-03,46.5,51.1193343141822,2.2786662912803877,37.11009433872459,a favor,a favor,a favor,a favor,tendencia,a favor del día,alto,alto,alto,alto,alto
2025-03-18,MNQ,-1,2,2025-03-18 14:05:00,19687.5,2025-03-18 14:24:00,19718.5,19718.25,19626.0,stop,-124.0,3.16,-127.16,123.0,-1.034,20,vwap_liq_rejection_short,-19.318454338306765,0.003141884422802832,-3.8775857045693556,244.25,1.1051239834356135,19707.568454338307,19726.715303087647,19688.25,297.0,0.6372053872053872,-1.0,short,14h,tarde,martes,2025-03,30.75,19.318454338306765,-0.003141884422802832,3.8775857045693556,a favor,a favor,en contra,a favor,tendencia,a favor del día,alto,medio,bajo,bajo,alto
2025-03-19,MNQ,1,1,2025-03-19 14:32:00,19898.5,2025-03-19 14:45:00,19977.5,19859.0,19977.5,target,158.0,1.58,156.42,79.0,1.98,14,vwap_liq_rejection_long,52.756941990504856,1.6172723538111313,10.144576740462071,138.5,1.246033214270467,19845.243058009495,19851.09705582109,19898.0,435.75,0.3482501434308663,1.0,long,14h,tarde,miércoles,2025-03,39.5,52.756941990504856,1.6172723538111313,10.144576740462071,a favor,a favor,a favor,a favor,mixto,a favor del día,alto,medio,alto,bajo,alto
2025-03-24,MNQ,1,1,2025-03-24 10:14:00,20308.5,2025-03-24 12:07:00,20378.5,20273.5,20378.5,target,140.0,1.58,138.42,70.0,1.977,114,vwap_liq_rejection_long,23.30424450319697,3.642190088983625,105.54279657746156,109.75,1.1147259897562154,20285.195755496803,20005.47797961163,20308.5,180.5,0.6897506925207756,1.0,long,10h,mañana,lunes,2025-03,35.0,23.30424450319697,3.642190088983625,105.54279657746156,a favor,a favor,a favor,a favor,tendencia,a favor del día,medio,medio,bajo,bajo,medio
2025-03-24,MNQ,1,1,2025-03-24 14:45:00,20362.5,2025-03-24 15:50:00,20383.0,20315.75,20456.0,session_flatten,41.0,1.58,39.42,93.5,0.422,66,vwap_liq_rejection_long,37.61633461238307,0.7718131782021374,5.968580165470485,109.75,2.2115453912124345,20324.383665387617,20315.906825124057,20362.0,180.5,0.6897506925207756,1.0,long,14h,tarde,lunes,2025-03,46.75,37.61633461238307,0.7718131782021374,5.968580165470485,a favor,a favor,a favor,a favor,tendencia,a favor del día,medio,alto,medio,alto,medio
2025-03-25,MNQ,1,1,2025-03-25 10:07:00,20404.0,2025-03-25 10:53:00,20489.0,20361.5,20489.0,target,170.0,1.58,168.42,85.0,1.981,47,vwap_liq_rejection_long,6.636392272488592,1.1184355528166634,11.513509386455553,66.5,1.1577401503583897,20396.36360772751,20362.636558764956,20403.0,134.0,0.6138059701492538,1.0,long,10h,mañana,martes,2025-03,42.5,6.636392272488592,1.1184355528166634,11.513509386455553,a favor,a favor,a favor,a favor,tendencia,a favor del día,bajo,alto,bajo,bajo,bajo
2025-03-25,MNQ,1,2,2025-03-25 13:04:00,20468.5,2025-03-25 13:18:00,20442.5,20442.75,20520.0,stop,-104.0,3.16,-107.16,103.0,-1.04,15,vwap_liq_rejection_long,34.149287232514325,0.6188513054294162,2.869511754350242,66.5,1.8425948896055568,20433.350712767486,20435.71066934477,20467.5,134.0,0.6138059701492538,1.0,long,13h,tarde,martes,2025-03,25.75,34.149287232514325,0.6188513054294162,2.869511754350242,a favor,a favor,a favor,a favor,tendencia,a favor del día,bajo,bajo,medio,alto,bajo
2025-03-25,MNQ,1,2,2025-03-25 14:22:00,20454.5,2025-03-25 14:32:00,20427.0,20427.5,20508.5,stop,-110.0,3.16,-113.16,108.0,-1.048,11,vwap_liq_rejection_long,20.665729026331974,0.19145353264320875,-2.436558426641568,66.5,1.609015086150548,20433.084270973668,20432.97796434019,20453.75,134.0,0.6138059701492538,1.0,long,14h,tarde,martes,2025-03,27.0,20.665729026331974,0.19145353264320875,-2.436558426641568,a favor,a favor,a favor,en contra,tendencia,a favor del día,bajo,bajo,bajo,alto,bajo
2025-03-27,MNQ,1,1,2025-03-27 14:38:00,20071.0,2025-03-27 15:01:00,20036.5,20037.0,20139.0,stop,-69.0,1.58,-70.58,68.0,-1.038,24,vwap_liq_rejection_long,1.4143621767507284,-0.15387472485963372,0.28699556870924425,153.25,1.4644392921546479,20069.58563782325,20065.478821656725,20071.0,261.25,0.06794258373205742,-1.0,long,14h,tarde,jueves,2025-03,34.0,1.4143621767507284,-0.15387472485963372,0.28699556870924425,a favor,a favor,en contra,a favor,lateral/chop,contra el día,alto,medio,bajo,medio,alto
2025-04-02,MNQ,1,1,2025-04-02 10:41:00,19590.0,2025-04-02 11:22:00,19662.0,19554.0,19662.0,target,144.0,1.58,142.42,72.0,1.978,42,vwap_liq_rejection_long,58.517822205860284,7.344883542329626,17.257822230913007,263.75,1.259154431275429,19531.23217779414,19522.698200726616,19589.75,573.0,0.7674520069808028,1.0,long,10h,mañana,miércoles,2025-04,36.0,58.517822205860284,7.344883542329626,17.257822230913007,a favor,a favor,a favor,a favor,tendencia,a favor del día,alto,medio,alto,bajo,alto
2025-04-03,MNQ,-1,1,2025-04-03 13:10:00,18875.0,2025-04-03 14:13:00,18786.0,18919.5,18786.0,target,178.0,1.58,176.42,89.0,1.982,64,vwap_liq_rejection_short,-27.876311674932367,-0.43420386354773655,-30.123361209072755,163.25,1.3193883210522146,18903.376311674932,18984.317023941712,18875.5,395.5,0.5353982300884956,-1.0,short,13h,tarde,jueves,2025-04,44.5,27.876311674932367,0.43420386354773655,30.123361209072755,a favor,a favor,a favor,a favor,tendencia,a favor del día,alto,alto,medio,medio,alto
2025-04-14,MNQ,1,1,2025-04-14 10:49:00,19160.5,2025-04-14 10:58:00,19122.0,19122.25,19237.0,stop,-77.0,1.58,-78.58,76.5,-1.027,10,vwap_liq_rejection_long,54.4365183124537,3.791968403318606,63.75167421229344,268.25,1.1052040636878915,19105.563481687546,18951.205318218905,19160.0,516.75,0.5921625544267054,-1.0,long,10h,mañana,lunes,2025-04,38.25,54.4365183124537,3.791968403318606,63.75167421229344,a favor,a favor,a favor,a favor,tendencia,contra el día,alto,medio,alto,bajo,alto
2025-04-16,MNQ,-1,1,2025-04-16 10:16:00,18551.5,2025-04-16 10:25:00,18608.5,18608.0,18438.5,stop,-114.0,1.58,-115.58,113.0,-1.023,10,vwap_liq_rejection_short,-45.93580471619134,-4.429484793632582,-91.33530501254063,145.0,1.111987230032502,18597.93580471619,18830.1231121401,18552.0,619.0,0.2964458804523425,-1.0,short,10h,mañana,miércoles,2025-04,56.5,45.93580471619134,4.429484793632582,91.33530501254063,a favor,a favor,a favor,a favor,mixto,a favor del día,alto,alto,alto,bajo,alto
